firmname,firmfounding,firmstate,firmzip,firmtype,firmmsa,firmtype2,d,remove
AIG Global Real Estate Investment Corp,1988.2.29,NY,10005,Private Equity Firm,5600,IVC,1,
AIM Associates Capital Group LLC,2020.1.1,FL,33010,Private Equity Firm,5000,IVC,1,
AIN Management LLC,2020.1.1,NY,10001,Individuals,5600,Angel,1,
AIX Ventures,2022.1.1,CA,94305,Private Equity Firm,7400,IVC,1,
AKT IP Ventures,2015.1.1,DC,20017,Incubator/Development Program,8840,Non-Financial,1,
AL Advisors Management Inc,2010.1.1,CA,94133,Angel Group,7360,Angel,1,
AL SHUGART INTERNATIONAL INC,1998.1.1,CA,95062,Service Provider,7485,Other,1,
ALAN I GOLDMAN & ASSOCIATES,1990.1.1,NJ,7028,Private Equity Firm,5640,IVC,1,
ALBEMARLE CAPITAL MANAGEMENT,1999.1.1,VA,22902,Private Equity Firm,1540,IVC,1,
ALBRITTON DEVELOPMENT CO,1984.1.1,TX,75206,Private Equity Firm,1920,IVC,1,
ALCHEMIX CORP,1996.1.1,UN,NA,Service Provider,0,Other,1,
ALEX BROWN PARTNERS,1983.1.1,MD,20601,Private Equity Firm,8840,IVC,1,
ALIAVIA Ventures Fund I LP,2020.1.1,CA,92651,Private Equity Firm,5945,IVC,1,
ALISTAR CAPITAL GROUP,1980.1.1,WA,98004,Private Equity Firm,7600,IVC,1,
ALLIANCE FINANCIAL OF HOUSTON,1993.1.1,TX,77057,SBIC,3360,Financial,1,
ALLTEL Ventures,1999.1.1,AR,72202,Private Equity Firm,4400,IVC,1,
ALM Media Holdings Inc,1997.1.1,NY,10010,Corporate PE/Venture,5600,CVC,1,
ALPHA CAPITAL VENTURE PARTNERS L P,1982.1.1,IL,60602,Private Equity Firm,1600,IVC,1,
ALPINE TECHNOLOGY VENTURES,1980.1.1,CA,95014,Private Equity Firm,7400,IVC,1,
AMBSE Ventures,2021.1.1,GA,30313,Corporate PE/Venture,520,CVC,1,
AMC-GCT Inc,1993.5.1,MA,2467,Corporate PE/Venture,1120,CVC,1,
AMD Ventures LLC,2010.6.2,CA,95054,Corporate PE/Venture,7400,CVC,1,
AME Cloud Ventures LLC,2012.3.23,CA,94306,Private Equity Firm,7400,IVC,1,
AMERICAN DIVERSIFIED ENTPS,1981.1.1,NY,501,Bank Affiliated,5380,Financial,1,
AMERICAN FINANCIAL CONSULTANTS INC,1988.5.1,SC,29615,Service Provider,3160,Other,1,
AMERICAN TECHNOLOGY FUNDING INC,1971.1.1,CA,90001,Private Equity Firm,4480,IVC,1,
AMERICAP L L C,1998.1.1,FL,33131,Private Equity Advisor or Fund of Funds,5000,Financial,1,
AMEV Venture Management Inc,1979.1.1,NJ,8837,Private Equity Firm,5015,IVC,1,
AMG Private Capital Group,2007.1.1,CO,80111,Bank Affiliated,2080,Financial,1,
AMICUS INFORMATION SERVICES,2002.1.1,CA,94608,Corporate PE/Venture,5775,CVC,1,
AMITI VENTURES I L P,2010.1.1,IL,60201,Private Equity Firm,1600,IVC,1,
AMJ Ventures LLC,2019.1.1,NY,10001,Private Equity Firm,5600,IVC,1,
AMR Action Fund LP,2020.1.1,NY,10019,Private Equity Firm,5600,IVC,1,
AMX Capital Ltd,2010.1.1,MA,2109,Private Equity Firm,1120,IVC,1,
ANACOTT PARTNERS L P,1999.1.1,CA,93109,Private Equity Firm,7480,IVC,1,
ANALOG DEVICES ENTERPRISES,1980.1.1,MA,2062,Corporate PE/Venture,1120,CVC,1,
ANB Venture Corp,1987.1.1,IL,60690,SBIC,1600,Financial,1,
ANDBACH VENTURES I L P,2002.1.1,UN,NA,Other,0,Other,1,
ANDERSON NEW ENGLAND CAPITAL CORP,1978.1.1,NY,10022,Bank Affiliated,5600,Financial,1,
ANGEL CAPITAL NETWORK INC,1999.1.1,CA,94965,Bank Affiliated,7360,Financial,1,
ANSYS Inc,2002.1.1,PA,15317,Corporate PE/Venture,6280,CVC,1,
AOL Ventures I LLC,2010.1.1,NY,10012,Corporate PE/Venture,5600,CVC,1,
AP Capital Investments LP,2007.1.1,CA,90049,Private Equity Firm,4480,IVC,1,
APERION MANAGEMENT LLC,2006.1.1,NY,10001,Private Equity Firm,5600,IVC,1,
AQUILA CAPITAL PARTNERS L P,1998.1.1,NY,10001,Private Equity Firm,5600,IVC,1,
ARBEIT & CO,1982.1.1,NY,501,"Endowment, Foundation or Pension Fund",5380,Financial,1,
ARC Labs LLC,2019.1.1,CA,94111,Private Equity Firm,7360,IVC,1,
ARC Partners Inc,2020.1.1,FL,33010,Private Equity Firm,5000,IVC,1,
ARCA Biopharma Inc,1992.1.1,MA,2139,Corporate PE/Venture,1120,CVC,1,
ARETE VENTURES INC,1983.1.1,MD,20847,Private Equity Firm,8840,IVC,1,
ARG Private Equity LLC,2002.1.1,OK,74136,Private Equity Firm,8560,IVC,1,
ARGENTUM CAPITAL PARTNERS II L P,2000.1.1,UN,NA,Other,0,Other,1,
ARGYLE PARTNERS LTD,1994.1.1,NY,501,Private Equity Firm,5380,IVC,1,
ARK,2019.1.1,NY,10001,Corporate PE/Venture,5600,CVC,1,
ARK Venture  Fund,2022.9.23,FL,33701,Corporate PE/Venture,8280,CVC,1,
ARROW TRANSMISSION DESIGN INC,2002.1.1,UN,NA,Other,0,Other,1,
ARSCOTT NORTON & ASSOCIATES V,2002.1.1,UN,NA,Other,0,Other,1,
ARTESIAN CAPITAL,1989.1.1,MN,55416,Private Equity Firm,5120,IVC,1,
AS Birch Grove,2006.1.1,NY,10022,Individuals,5600,Angel,1,
ASB Real Estate Investments,1983.1.1,MD,20814,Investment Management Firm,8840,Financial,1,
ASCENT VENTURE MANAGEMENT INC,1985.1.1,MA,1730,Private Equity Firm,1120,IVC,1,
ASCII of America Inc,1990.2.1,CA,95054,Corporate PE/Venture,7400,CVC,1,
ASI Capital LLC,2015.1.1,CO,80920,Private Equity Firm,1720,IVC,1,
ASIAN AMERICAN CAPITAL CORP,1981.2.23,CA,94544,SBIC,5775,Financial,1,
ASML Ventures,2007.1.1,DE,19801,Corporate PE/Venture,9160,CVC,1,
"ASPARRON CAPITAL, LLC",2007.1.1,TX,76051,Private Equity Firm,2800,IVC,1,
ASYM Energy Investments LLC,2009.12.23,CT,6901,Private Equity Firm,8040,IVC,1,
AT Capital Partners Inc,1984.1.1,OH,44115,SBIC,1680,Financial,1,
AT&T Aspire Accelerator,2015.1.1,TX,75202,Incubator/Development Program,1920,Non-Financial,1,
AT&T CONSUMER PRODUCTS(AT&T),1997.1.1,UN,NA,Other,0,Other,1,
AT&T Inc,1989.1.1,TX,78205,Corporate PE/Venture,7240,CVC,1,
AT&T Master Pension Trust,1984.1.1,NJ,7001,"Endowment, Foundation or Pension Fund",5015,Financial,1,
AT&T State Street Corp,1984.1.1,NJ,7001,"Endowment, Foundation or Pension Fund",5015,Financial,1,
ATCAP Partners,2009.1.1,TX,75243,Investment Management Firm,1920,Financial,1,
ATEL Growth Capital,1998.1.1,CA,94111,Corporate PE/Venture,7360,CVC,1,
ATHLON VENTURES MANAGEMENT L L C,2000.1.1,CA,94108,Private Equity Advisor or Fund of Funds,7360,Financial,1,
ATL Associates LLC,2014.1.1,NY,10167,Private Equity Firm,5600,IVC,1,
ATLANTIC COASTAL VENTURES LP,1979.1.1,DC,20007,Private Equity Firm,8840,IVC,1,
ATLANTIC VENTURE PARTNERS L P,1981.3.1,NC,27103,Private Equity Firm,3120,IVC,1,
ATP Management Company LLC,2014.9.1,TX,78701,Private Equity Firm,640,IVC,1,
